"1990":1990
"Гостиница":gostinic
"Давайте, други милые...":davajte
"Два слова рыбы":dvaslova
"Декларация":deklarac
"Дело было страшное...":delobylo
"Дело шло к рассвету...":deloshlo
"Джим":jim
"Диктант":diktant
"Для тех несчастных...":stixiopr
"До поезда":dopoezda
"Долго мы скакали полем...":dolgomys
"Дорога":doroga
"Другая жизнь":drugajaz
"Другое обращение к герою":drugoe
"Друзья-мореходы, творцы-корабелы...":druzjamo
"Душа":dusha
"Дуэт":duet
"Ей 28 лет...":ej28let
"Если":esli
"Ещё заклинание":eschezak
"Ещё младенцем...":eschemla
"Жалоба":zhaloba
"Жизнь прекрасна":zhizn
"ЗАВТРА, вчера, всегда":neumeesh
"Завещание безумца":zavescha
"Завтра, ВЧЕРА, всегда":bezvyxod
"Завтра, вчера, ВСЕГДА":vgorodev
"Заклинание":zaklinan
"Закон ходьбы":zakonxod
"Залив":zaliv
"Застольная":zastolnaya
"Затем же, зачем...":zatemzhe
"Звездочёт":zvezdoch
"Звёзды и полосы":zvezdyip
"Знамя наше на древке развевается...":znamja
"Зоосад":zoosad
"Издалека вернувшись...":izdaleka
"Инициалы":inicialy
"Инструкция":instrukc
"Интермедия 1":interme1
"Интермедия 10":uzhenera
"Интермедия 11":samsebe
"Интермедия 12":takieshk
"Интермедия 13":chteniem
"Интермедия 14":solidnys
"Интермедия 2":interme2
"Интермедия 3":interme3
"Интермедия 4":interme4
"Интермедия 5":interme5
"Интермедия 6":privelse
"Интермедия 7":gonistos
"Интермедия 8":mezhdupr
"Интермедия 9":nezabyva
"Итак, друзья...":itakdruz
"К речи":krechi
"К сороконожке":ksorokon
"Кадриль":kadril
"Как будто":opyattor
"Какой кошмар...":kakojkos
"Калейдоскоп детский":kalejdos
"Капитан бравый":kapitan
"Караван":karavan
"Кариатиды":kariatid
"Кибитка":kibitka
"Кинематограф 1":kinemat1
"Кинематограф 2":kinemat2
"Кино - метро":kinometr
"Ковчег неутомимый":kovcheg
"Когда бы ты была...":kogdaby
"Когда я был помоложе...":kogdajab
"Кого люблю, того не встречу...":kogoljub
"Коллаж":kollazh
"Колодец":kolodec
"Колыбельная":kolybeln
"Колыбельная безумца":kolybelb
"Колёса":kolesa
"Конец 1-й части":otbagazh
"Конец 2-й части":kogdamen
"Конец 3-й части":uzhesli
"Конец недели":konecned
"Кони в вагоне":konivvag
"Конспект":konspekt
"Контрреволюционный этюд":kupljubi
"Кораблик":korablik
"Кордебалет":kordebal
"Корчма":korchma
"Красные ворота":krasnye
"Крым 1":krym
"Крым 2":krym2
"Кто?":kto
"Ложный шаг":lozhnyj
"Лондон":london
"Лунная соната":lunnaja
"Любовь, как истина...":ljubov
"Люди сухопутья":ljudisux
"Мадлен":madlen
"Май":maj
"Маленькая хозяйка":malenkaj
"Мария":marija
"Марш кротов":marshkro
"Марш-марш":izpepla
"Матчиш":zemljaiz
"Меж этим пределом и тем...":mezhetim
"Менуэт":menuet
"Мне этот берег вечно мил...":mneetotb
"Мои ракеты":moiraket
"Мой гордый дух под звёздным кровом...":mojgordy
"Мой несчастный друг...":otchego1
"Молитва безумца":molitva
"Москва - Сухуми":suhumi
"Моя работа":mojarabo
"Моё королевство 1":moekoro1
"Моё королевство 2":moekoro2
"Моё королевство 3":moekoro3
"Мужайся":muzhajsj
"Мчись над волной...":mchisnad
"Мытищи":mytischi
"На всей Земле 1":navsejz1
"На всей Земле 2":navsejz2
"На зимней авеню":nazimnej
"Навещая знакомый берег...":navescha
"Надо было":desyatpe
"Надпись":nadpis
"Напоследок":proscha4
"Настасья":nastasja
"Не бывает":nebyvaet
"Не знаю, как там ландыш...":neznajuk
"Не надо было":nenadoby
"Не скифы":neskify
"Не только":skazhuse
"Нельзя":itakvope
"Неразменная бабочка":nerazmen
"Нет, нет!..":netnet
"Неужели":neuzheli
"Никакого нет спасенья...":nikakogo
"Ничему не поверю...":nichemun
"Ничья сторона":gdetytep
"Новый гений":novyjgen
"Ночной дозор":nochnoj
"О том и речь...":otomirec
"О ты, не знающий сна...":otynezna
"Обращение к герою":japodari
"Однажды думал-думал...":odnazhdy
"Ой, да что ж это такое...":ojdachto
"Ой, не троньте...":ojnetron
"Океан":okean
"Околоток":okolotok
"Она сказала мне...":onaskaza
"Опилки":opilki
"Острова":ostrova
"От Рождества":otrozhde
"От этих зимних зорь...":otetixzi
"Отъезд":kudanena
"Очнулся утром...":ochnulsj
"Павловск":pavlovsk
"Памяти всех":pamjativ
"Панорама":panorama
"Паром":chtozane
"Пейзаж":peyzazh
"Песенка":vpoxodny
"Песенка о молодости":pesenkao
"Песенка эмигранта":emigrant
"Песнь о Неведенье":natrinad
"Песня беженцев":bezhence
"Песня безумца":prenebre
"Песня внутренней службы охраны":oxrany
"Песня кладбищенских сторожей":kladbisc
"Песня о героях":ogerojax
"Песня о колёсах":kchemuis
"Песня о Родине":orodine
"Песня о тройке":trojka
"Песня пажа":pazh
"Песня рыбаков Флориды":rybakov
"Песня среднего человека 1":sredneg1
"Песня среднего человека 2":sredneg2
"Песня толпы":tolpy
"Петербург":peterbur
"Пешком с Востока...":peshkom
"Пикник":hotyaizr
"Плач":plach
"По мотивам":propalpr
"По поводу очередных реформ":popovodu
"Поводырь":povodyr
"Под знаменем Фортуны...":podzname
"Подражание Галичу":podrazha
"Подросток":podrosto
"Поездом":nesmogna
"Полёт валькирий":poletval
"Поправьте пюпитры...":popravte
"Посещение":posesche
"После детства":posledet
"После холодности...":poslexol
"Посмотрите, вот идёт...":posmotri
"Почти":pochtich
"Пошлый романс":poshlyj
"Предположим":predpolo
"Призвав решительность...":otchego2
"Примечание к Быстрову":bystrov2
"Про ненадетые браслеты":pronenad
"Просыпаюсь, и гложет стыд...":prosypaj
"Просьба":prosba
"Прошу вниманья, государь!...":proshuvn
"Прощальная 1":proscha1
"Прощальная 2":proscha2
"Прощальная 3":proscha3
"Прощание с Петербургом":proschanie
"Прощание славянки":proschan
"Пункт M":naivnopo
"Пускай":puskaj
"Пустые бочки...":pustyjeb
"Пьеса":piesa
"Разминка":shestsem
"Райцентр":mneniche
"Рецензия":escheya
"Ривьера":schastli
"Рисунок":risunok
"Ровесник":pochtina
"Род людской...":rodljuds
"Рождество":rozhdest
"Вряд ли":vrjadli
"Романс 1":romans1
"Романс 2":romans2
"Романс-марш":romansma
"Русалка, цыганка, цикада...":rusalka
"Рыба":ryba
"Рыба-меч":zanaves
"Сверчки-кузнечики":kuznechiki
"Свидание с полковником":svidanie
"Седьмой трамвай":dendensk
"Сезон дождей":sezondoz
"Сейчас и здесь":vkoncevr
"Сентенциозные куплеты":sentenci
"Сентябрь":sentyabr
"Сердце ангела":serdcean
"Серенада":serenada
"Скерцо":skerco
"Сколько ни трать слов...":skolko
"Скрипач и конка":kogdaned
"Служба":razvecht
"Смотри":nadeyus
"Сначала я...":istorija
"Сокольники":sokolnik
"Спрос":spros
"Сто друзей":stodruze
"Суставы":sustavy
"Сын мой! Будь умней, чем отец твой...":synmoj
"Там же, тогда же":rydaytru
"Там, где шелесят оседая...":krajzem
"Тарантелла":piter
"Тема покоя":temapoko
"Тема полёта":temapoleta
"Тень":stenyusv
"Теперь и прежде":ktosamgo
"Тир Боярд":tirbayard
"Тирренское море":slezazol
"То ли мука, то ли скука...":atlantic
"То, что хотел бы я высказать...":tochtoxo
"Тогда и там":proschalm
"Тоже пародия":chtobyat
"Толпа - художнику":tolpaxud
"Тоска по Родине":ispokojn
"Травиата":traviata
"Треска":treska
"Троекуровский погост":bukvynak
"Трубач":trubach
"Тёплый дом, сытный стол...":teplyj
"У дороги чибис":chibis
"У нас опять зима...":unasopja
"Фармацевт":farmacev
"Февраль":fevral
"Фиалковый букет":fialkovy
"Филёвский парк":neradisp
"Флейтист":propadu
"Флот":flot
"Фонтанка":fontanka
"Фридрих идёт":fridrih
"Хоровод":netlubez
"Хорошо жилось Сократу...":xorosho
"Хрусталь":hrustal
"Художник — толпе":xudozhni
"Целое лето":celoelet
"Циркач":cirkach
"Циркачка":cirkachk
"Цыбин":cybin
"Частушки":chastush
"Чаттануга":sovsemne
"Чем без дела ошиваться...":chembez
"Чепуха, чепуха...":chepuxa
"Черёмушки":godshel
"Что такое есть я...":chtotako
"Чужая музыка 1":chuzhaj1
"Чужая музыка 2":chuzhaj2
"Чужая музыка 3":nadvuhk
"Чумка":chumka
"Чёт-нечет":kuspehuv
"Шансон":shanson
"Шарманщик":sharmans
"Шея":sheja
"Школа танцев 1":shkolat1
"Школа танцев 2":shkolat2
"Шум и дым":shum
"Щит и меч":schitime
"Эпиграф":ubykagol
"Эпилог":epilog
"Эти глаза напротив":etiglaza
"Это должно случиться...":etodolzh
"Это не я":etoneja
"Это я":etoja
"Юбилейная":jubilejn
"Южный ветер...":juzhnyj
"Я исполняю всё...":jaispoln
"Я помню клевер...":japomnju
"Я чашу свою...":jachashu
"Я - экзотик":jaekzoti
"Слёзный звон":sleznyj
"Покуда ничего на свете не случилось...":pokudani
"Идёт война. Лютует враг. В опасности Свобода...":idetvojn
"Первое обращение к художнику":obraschx
"Новогодние стихи":novogodn
"Не тревожьтесь...":netrevoz
"Второе послевоенное танго":vsemuvre
"Настоящих людей так немного...":nastojas
"На Невском":odnazkim
"Баллада Лонгрена":longran
"Какой большой ветер...":veternm
"Луна":lunanm
"Соловецкие чайки":chaikile
"Песня Зизи":pesnzizi
"Окраины":okrainy
"На Сретенке ночной...":nasreten
"За гитарный перебор":zagitarn
"Арбатский романс":arbatsko
"Сердце моё, не стучи":nochprin
"Любил я очи голубые...":poplubil
"Прощание с Польшей":mysvjaza
"Сад волшебный":sadvolsh
"Горизонт":gorizont
"Время идёт":vremjaid
"Рыбачка":rybachka
"Святое воинство":sovestbl
"Iшло дiвча лучками...":ishlodiv
"Долина":dolinanm
"Половодье":polovodj
"Ах, трубы медные гремят...":axtrubym
"Песня про котёл":prokotel
"Ах, мальчик, мальчик, зачем ты мучаешь кота...":axmalnm
"Первое послевоенное танго":sletalis
"Море Чёрное":nepokorn
"Кузнечик":nuchemte
"Одержимый Джим":oderjimy
"Ситцевые женщины":sitzevyj
"Ты восчувствуй":tyvoschu
"Бирюзовые колечки":birjuzov
"Ты в чём виновата...":tyvchemv
"Песенка о метро":ometro
"С Моцартом мы уезжаем из Зальцбурга...":smozarto
"Плач по Арбату":javysele
"Не будем хвастаться, что праведно живём...":nebudemx
"Куплеты Первого Министра":vytakpyl
"Лесная фея":ustaloju
"Черноморская":exdanapr
"Лампочка":lampochk
"О чём ты успел передумать, отец расстрелянный мой...":ochemtok
"Песенка о моей душе":chtotaok
"Я на лодочке плыву...":popdorog
"Суд над судьями":sudnadsu
"Московский муравей":netridca
"Варяжская разбойничья":eiproxoz
"Не покидай меня, весна...":nepokijk
"Белый марш":vsebylok
"Рыба-кит":rybakit
"Эта женщина! Увижу и немею...":etazhens
"Песенка весёлого солдата":veselsol
"Два силуэта":dvasilue
"Мастер Гриша":mastergr
"Два силуэта":dvasilue
"Мастер Гриша":mastergr
"Я вновь повстречался с Надеждой...":javnovpo

